id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,purpose,title,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,last_pymnt_d,last_pymnt_amnt,last_credit_pull_d,collections_12_mths_ex_med,application_type,acc_now_delinq,chargeoff_within_12_mths,delinq_amnt,pub_rec_bankruptcies,tax_liens
1069800,1304679,15000,15000,8725.0, 36 months,14.27,514.64,C,C2,nyc transit,9 years,RENT,60000.0,Not Verified,Dec-11,Charged Off,n,debt_consolidation,consolidation,NY,15.22,0,Oct-03,1,7,0,5872,57.6,11,f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,May-16,0.0,May-16,0.0,INDIVIDUAL,0,0.0,0,0.0,0.0
1069657,1304764,5000,5000,5000.0, 60 months,16.77,123.65,D,D2,Frito Lay,2 years,RENT,50004.0,Not Verified,Dec-11,Charged Off,n,other,Other,PA,13.97,3,Oct-03,0,14,0,4345,59.5,22,f,0.0,0.0,1609.12,1609.12,629.05,719.11,0.0,260.96,Dec-12,123.65,May-13,0.0,INDIVIDUAL,0,0.0,0,0.0,0.0
1069799,1304678,4000,4000,4000.0, 36 months,11.71,132.31,B,B3,Shands Hospital at the University of Fl,10+ years,MORTGAGE,106000.0,Not Verified,Dec-11,Fully Paid,n,debt_consolidation,Debt Consolidation,FL,5.63,1,Aug-84,0,12,0,6110,37.7,44,f,0.0,0.0,4486.293519,4486.29,4000.0,486.29,0.0,0.0,Apr-13,2638.77,May-16,0.0,INDIVIDUAL,0,0.0,0,0.0,0.0
1047704,1278806,8500,8500,8500.0, 36 months,11.71,281.15,B,B3,Oakridge homes,< 1 year,RENT,25000.0,Source Verified,Dec-11,Fully Paid,n,credit_card,Credit card repayment loan,MN,12.19,0,Nov-06,0,8,0,6441,59.1,12,f,0.0,0.0,10126.08844,10126.09,8500.0,1626.09,0.0,0.0,Dec-14,581.59,Jan-15,0.0,INDIVIDUAL,0,0.0,0,0.0,0.0
1032111,1261745,4375,4375,4375.0, 36 months,7.51,136.11,A,A3,Not Provided,7 years,MORTGAGE,17108.0,Source Verified,Dec-11,Fully Paid,n,debt_consolidation,Debt Consolidation,NY,20.34,0,Dec-87,0,6,0,11210,86.9,12,f,0.0,0.0,4899.96,4899.96,4375.0,524.96,0.0,0.0,Jan-15,144.94,Dec-14,0.0,INDIVIDUAL,0,0.0,0,0.0,0.0
1069539,1304608,31825,31825,31825.0, 36 months,7.9,995.82,A,A4,Audubon Mutual Housing Corporation,5 years,MORTGAGE,75000.0,Verified,Dec-11,Fully Paid,n,debt_consolidation,Debt Consolidation Loan,NJ,14.03,0,Nov-81,0,12,0,23151,27.4,26,f,0.0,0.0,34886.91378,34886.91,31825.0,3061.91,0.0,0.0,Aug-13,16966.7,Feb-16,0.0,INDIVIDUAL,0,0.0,0,0.0,0.0
1065420,1299514,10000,10000,9975.0, 60 months,15.96,242.97,C,C5,US Legal Support,2 years,RENT,29120.0,Verified,Dec-11,Current,n,debt_consolidation,Brown Eyes Loan,FL,22.83,0,Feb-97,1,11,0,16158,63.6,31,f,1849.1,1844.43,12594.24,12562.85,8150.89,4443.35,0.0,0.0,May-16,242.97,Apr-16,0.0,INDIVIDUAL,0,0.0,0,0.0,0.0
1069591,1304289,5000,5000,5000.0, 36 months,8.9,158.77,A,A5,Good Samaritan Society,2 years,RENT,24044.0,Verified,Dec-11,Fully Paid,n,debt_consolidation,Consolidation,OR,11.93,0,Apr-05,0,8,0,2224,29.3,16,f,0.0,0.0,5715.56,5715.56,5000.0,715.56,0.0,0.0,Jan-15,163.64,May-16,0.0,INDIVIDUAL,0,0.0,0,0.0,0.0
1069530,1291365,7000,7000,7000.0, 36 months,15.96,245.97,C,C5,GREG BARRETT DRYWALL,7 years,RENT,34000.0,Source Verified,Dec-11,Fully Paid,n,credit_card,Credit Card Loan,CA,6.35,0,Oct-07,1,6,0,6113,60.5,6,f,0.0,0.0,8854.510004,8854.51,7000.0,1854.51,0.0,0.0,Jan-15,260.74,Dec-14,0.0,INDIVIDUAL,0,0.0,0,0.0,0.0
1069522,1304589,12400,12400,12400.0, 36 months,10.65,403.91,B,B2,Sharp Lawn Inc.,10+ years,RENT,41000.0,Not Verified,Dec-11,Fully Paid,n,credit_card,December 2011 Credit Card Loan,KY,11.8,0,Jul-05,2,9,0,11095,57.2,12,f,0.0,0.0,14540.67999,14540.68,12400.0,2140.68,0.0,0.0,Jan-15,417.61,May-16,0.0,INDIVIDUAL,0,0.0,0,0.0,0.0
1069361,1304255,10800,10800,10800.0, 36 months,9.91,348.03,B,B1,Department of Justice,2 years,RENT,55596.0,Source Verified,Dec-11,Fully Paid,n,moving,Moving to better job; help a veteran!,CA,5.5,0,Dec-00,0,7,0,2535,13.3,18,f,0.0,0.0,12159.18687,12159.19,10800.0,1359.19,0.0,0.0,Nov-13,3483.79,Jan-16,0.0,INDIVIDUAL,0,0.0,0,0.0,0.0
1069357,1304251,15000,15000,15000.0, 36 months,7.9,469.36,A,A4,Gateway Hospice,1 year,RENT,45000.0,Verified,Dec-11,Fully Paid,n,debt_consolidation,Debt Consolidation Loan,OH,8.48,0,Nov-04,0,7,0,6704,50.4,27,f,0.0,0.0,16663.34403,16663.34,15000.0,1663.34,0.0,0.0,Jan-14,5872.8,May-16,0.0,INDIVIDUAL,0,0.0,0,0.0,0.0
1069356,1304250,6000,6000,6000.0, 36 months,12.42,200.5,B,B4,Cox Communications,1 year,RENT,36852.0,Source Verified,Dec-11,Fully Paid,n,debt_consolidation,Credit Card Consolidation,AZ,10.62,0,Apr-07,1,7,0,7310,66.5,12,f,0.0,0.0,7127.722011,7127.72,6000.0,1127.72,0.0,0.0,Apr-14,1923.53,May-16,0.0,INDIVIDUAL,0,0.0,0,0.0,0.0
1069346,1304237,12500,12500,12475.0, 60 months,12.69,282.44,B,B5,United States Infrastructure Corporation,1 year,RENT,27000.0,Verified,Dec-11,Current,n,debt_consolidation,Credit card debt,IL,16.04,0,Dec-01,3,6,0,10143,50.0,24,f,2181.42,2177.03,14636.3,14607.08,10318.58,4317.72,0.0,0.0,May-16,282.44,May-16,0.0,INDIVIDUAL,0,0.0,0,0.0,0.0
1067573,1301955,9600,9600,9600.0, 36 months,7.51,298.67,A,A3,Nucor Building Systems,4 years,RENT,68004.0,Source Verified,Dec-11,Fully Paid,n,other,Other Loan,SC,6.63,0,Jan-03,0,6,0,2896,18.1,11,f,0.0,0.0,10751.86997,10751.87,9600.0,1151.87,0.0,0.0,Jan-15,311.56,Dec-14,0.0,INDIVIDUAL,0,0.0,0,0.0,0.0
1069506,1304567,12000,12000,12000.0, 36 months,7.9,375.49,A,A4,John Wiley Jr.,10+ years,RENT,62300.0,Not Verified,Dec-11,Fully Paid,n,debt_consolidation,Debt Consolidation,NJ,16.7,0,Mar-94,0,15,0,8601,21.0,25,f,0.0,0.0,13517.36,13517.36,12000.0,1517.36,0.0,0.0,Jan-15,380.98,May-16,0.0,INDIVIDUAL,0,0.0,0,0.0,0.0
1069314,1304202,3000,3000,3000.0, 36 months,18.25,108.84,D,D5,Not Provided,9 years,MORTGAGE,65000.0,Not Verified,Dec-11,Fully Paid,n,other,Year End Cleanup,PA,17.39,0,Sep-98,0,8,0,43936,98.1,22,f,0.0,0.0,3917.949999,3917.95,3000.0,917.95,0.0,0.0,Jan-15,115.38,May-16,0.0,INDIVIDUAL,0,0.0,0,0.0,0.0
1060578,1292332,4400,4400,4400.0, 36 months,16.77,156.37,D,D2,citizens bank,10+ years,RENT,55000.0,Not Verified,Dec-11,Fully Paid,n,debt_consolidation,debt,RI,20.01,0,Jun-04,0,7,0,25237,99.0,11,f,0.0,0.0,5629.270001,5629.27,4400.0,1229.27,0.0,0.0,Jan-15,162.44,Dec-15,0.0,INDIVIDUAL,0,0.0,0,0.0,0.0
1069469,1304526,6000,6000,6000.0, 36 months,6.03,182.62,A,A1,"Stewart Enterprises, Inc.",10+ years,MORTGAGE,45600.0,Not Verified,Dec-11,Fully Paid,n,debt_consolidation,Debt-Consolidation ,LA,5.34,0,Nov-95,1,6,0,3378,32.5,28,f,0.0,0.0,6065.86,6065.86,6000.0,65.86,0.0,0.0,Jul-12,15.01,Jun-12,0.0,INDIVIDUAL,0,0.0,0,0.0,0.0
1051117,1282787,14000,14000,14000.0, 36 months,9.91,451.15,B,B1,golfers warehouse,6 years,RENT,80000.0,Not Verified,Dec-11,Fully Paid,n,small_business,Small Business Loan,MA,10.0,0,Jul-99,1,7,0,2219,13.4,40,f,0.0,0.0,16241.38,16241.38,14000.0,2241.38,0.0,0.0,Jan-15,457.91,Apr-16,0.0,INDIVIDUAL,0,0.0,0,0.0,0.0
1069465,1304521,5000,5000,5000.0, 36 months,8.9,158.77,A,A5,STERIS Corporation,10+ years,MORTGAGE,100000.0,Source Verified,Dec-11,Charged Off,n,debt_consolidation,Debt Consolidation for a better life,OH,16.33,0,Jun-95,0,17,0,74351,62.1,35,f,0.0,0.0,5021.37,5021.37,4217.38,696.99,0.0,107.0,Aug-14,158.77,Dec-14,0.0,INDIVIDUAL,0,0.0,0,0.0,0.0
1069283,1304166,10000,10000,10000.0, 36 months,10.65,325.74,B,B2,Costco Wholesale Corp.,6 years,RENT,27000.0,Verified,Dec-11,Fully Paid,n,other,Other Loan,NY,11.47,0,Nov-06,0,7,0,7814,52.3,10,f,0.0,0.0,11726.32,11726.32,10000.0,1726.32,0.0,0.0,Jan-15,332.92,Apr-16,0.0,INDIVIDUAL,0,0.0,0,0.0,0.0
1069287,1304171,10000,10000,10000.0, 36 months,6.03,304.36,A,A1,Helicoil,10+ years,RENT,60000.0,Not Verified,Dec-11,Fully Paid,n,credit_card,Credit Card Loan,CT,12.74,0,Sep-92,1,11,0,14019,19.5,18,f,0.0,0.0,10282.70571,10282.71,10000.0,282.71,0.0,0.0,Jul-12,8762.05,Apr-16,0.0,INDIVIDUAL,0,0.0,0,0.0,0.0
1069453,1303701,11000,11000,11000.0, 36 months,6.62,337.75,A,A2,cognizant technology solutions,5 years,RENT,70000.0,Not Verified,Dec-11,Fully Paid,n,debt_consolidation,Debt Consolitation ,CT,10.85,0,Jan-02,0,5,0,11638,36.4,7,f,0.0,0.0,12158.61,12158.61,11000.0,1158.61,0.0,0.0,Jan-15,346.13,Apr-16,0.0,INDIVIDUAL,0,0.0,0,0.0,0.0
1069248,1304123,15000,15000,15000.0, 36 months,9.91,483.38,B,B1,Caterpillar Inc.,8 years,MORTGAGE,80000.0,Not Verified,Dec-11,Charged Off,n,debt_consolidation,Debt Consolidation Loan,IL,9.12,0,Apr-92,2,9,0,11845,63.7,28,f,0.0,0.0,16177.77,16177.77,13556.45,2374.34,24.17,222.81,Oct-14,483.38,Mar-15,0.0,INDIVIDUAL,0,0.0,0,0.0,0.0
1068120,1302485,25600,25600,25350.0, 36 months,9.91,824.96,B,B1,City of Santa Monica ,9 years,RENT,110000.0,Verified,Dec-11,Fully Paid,n,credit_card,Credit card refinance loan,CA,15.71,0,Jul-99,0,11,0,26088,62.0,27,f,0.0,0.0,29698.51,29408.49,25600.0,4098.51,0.0,0.0,Jan-15,838.27,May-16,0.0,INDIVIDUAL,0,0.0,0,0.0,0.0
1069244,1304117,7000,7000,7000.0, 36 months,10.65,228.02,B,B2,Aerotek Scientific,< 1 year,RENT,40000.0,Not Verified,Dec-11,Fully Paid,n,debt_consolidation,Loan 12142011,CA,7.38,0,Apr-04,0,7,0,12168,92.9,12,f,0.0,0.0,8208.410003,8208.41,7000.0,1208.41,0.0,0.0,Jan-15,240.27,Dec-14,0.0,INDIVIDUAL,0,0.0,0,0.0,0.0
1069243,1304116,12000,12000,12000.0, 36 months,15.96,421.65,C,C5,Chemat Technology Inc,4 years,RENT,50000.0,Not Verified,Dec-11,Charged Off,n,car,Car Loan,CA,20.88,0,Oct-06,2,11,0,15793,90.8,11,f,0.0,0.0,3521.95,3521.95,1903.66,1039.35,0.0,578.94,Aug-12,421.65,Dec-12,0.0,INDIVIDUAL,0,0.0,0,0.0,0.0
1069238,1303909,12000,12000,12000.0, 36 months,9.91,386.7,B,B1,Scott & White,1 year,RENT,46000.0,Not Verified,Dec-11,Fully Paid,n,credit_card,Credit Cards,TX,8.11,0,May-00,1,11,0,12143,52.1,12,f,0.0,0.0,13751.14474,13751.14,12000.0,1751.14,0.0,0.0,Jul-14,964.73,Mar-16,0.0,INDIVIDUAL,0,0.0,0,0.0,0.0
1069410,1303652,21000,21000,20975.0, 60 months,19.91,555.33,E,E4,Costco,7 years,RENT,50000.0,Verified,Dec-11,Charged Off,n,debt_consolidation, Bill pay of,WA,21.58,0,Sep-98,1,7,0,19448,97.6,14,f,0.0,0.0,18319.14,18297.35,8990.81,9328.33,0.0,0.0,Oct-14,555.33,May-16,0.0,INDIVIDUAL,0,0.0,0,0.0,0.0
1068409,1302790,16000,16000,15950.0, 60 months,19.91,423.11,E,E4,CA Technologies,7 years,RENT,81000.0,Verified,Dec-11,Fully Paid,n,credit_card,refinance debt,MA,20.52,0,Dec-98,3,12,0,27884,75.1,21,f,0.0,0.0,20882.09701,20816.84,16000.0,4882.1,0.0,0.0,Oct-13,9931.02,May-16,0.0,INDIVIDUAL,0,0.0,0,0.0,0.0
1068487,1302882,10000,10000,10000.0, 36 months,12.42,334.16,B,B4,Netflix,< 1 year,OWN,39000.0,Not Verified,Dec-11,Fully Paid,n,debt_consolidation,Debt Consolidation Loan,OR,18.58,0,Dec-04,0,5,0,12874,72.7,10,f,0.0,0.0,11477.10378,11477.1,10000.0,1477.1,0.0,0.0,Jul-13,5803.94,Mar-15,0.0,INDIVIDUAL,0,0.0,0,0.0,0.0
1043961,1274517,10000,10000,10000.0, 36 months,10.65,325.74,B,B2,DCAA,2 years,RENT,51400.0,Not Verified,Dec-11,Fully Paid,n,credit_card,My End to Bad Spending Habits Plan,TX,19.14,0,Oct-00,3,10,0,10160,59.1,24,f,0.0,0.0,10576.43411,10576.43,10000.0,576.43,0.0,0.0,Aug-12,8627.74,Sep-14,0.0,INDIVIDUAL,0,0.0,0,0.0,0.0
1068945,1287308,7100,7100,7100.0, 36 months,16.77,252.33,D,D2,Triple D security ,1 year,MORTGAGE,33000.0,Verified,Dec-11,Fully Paid,n,debt_consolidation,To pay of all debt,TX,24.0,0,Apr-07,2,4,0,6021,91.2,8,f,0.0,0.0,9083.530005,9083.53,7100.0,1983.53,0.0,0.0,Jan-15,262.78,May-16,0.0,INDIVIDUAL,0,0.0,0,0.0,0.0
1069142,1287810,13000,13000,13000.0, 60 months,12.69,293.74,B,B5,wrisco,< 1 year,MORTGAGE,30000.0,Source Verified,Dec-11,Fully Paid,n,debt_consolidation,Debt Consolidation Loan,NJ,13.72,0,May-02,0,17,0,17080,58.9,27,f,0.0,0.0,17402.23999,17402.24,13000.0,4402.24,0.0,0.0,Jan-16,3596.46,Jan-16,0.0,INDIVIDUAL,0,0.0,0,0.0,0.0
1068934,1277395,17500,8950,8925.0, 60 months,17.27,223.74,D,D3,Not Provided,6 years,RENT,40000.0,Verified,Dec-11,Fully Paid,n,small_business,Start Up,CA,19.47,0,May-06,1,5,0,10724,58.9,6,f,0.0,0.0,13227.10001,13190.15,8950.0,4277.1,0.0,0.0,Feb-16,2487.58,Jan-16,0.0,INDIVIDUAL,0,0.0,0,0.0,0.0
1069136,1278095,17675,17675,17675.0, 60 months,14.65,417.25,C,C3,webb candy,< 1 year,RENT,50000.0,Source Verified,Dec-11,Fully Paid,n,debt_consolidation,Debt Consolidation Loan,WI,16.46,0,Jul-02,2,6,0,6661,57.4,14,f,0.0,0.0,21323.86749,21323.87,17675.0,3648.87,0.0,0.0,Aug-13,13814.81,Feb-14,0.0,INDIVIDUAL,0,0.0,0,0.0,0.0
1068923,1303549,8000,8000,8000.0, 36 months,16.77,284.31,D,D2,Omniplex ,< 1 year,RENT,62000.0,Not Verified,Dec-11,Fully Paid,n,debt_consolidation,Debt Consolidation Loan,VA,21.64,0,Jul-06,3,14,0,6088,66.9,20,f,0.0,0.0,10273.24,10273.24,8000.0,2258.24,15.0,0.0,Dec-14,606.54,May-16,0.0,INDIVIDUAL,0,0.0,0,0.0,0.0
